timestamp,symbol,price
2025-10-08T17:40:42.989711,AAPL,151.14
2025-10-08T17:40:43.002273,AAPL,150.71
2025-10-08T17:40:43.014857,AAPL,154.73
2025-10-08T17:40:43.025327,AAPL,150.21
2025-10-08T17:40:43.037953,AAPL,152.96
2025-10-08T17:40:43.050559,AAPL,154.26
2025-10-08T17:40:43.063173,AAPL,155.33
2025-10-08T17:40:43.073321,AAPL,156.76
2025-10-08T17:40:43.085222,AAPL,156.08
2025-10-08T17:40:43.097518,AAPL,155.85
2025-10-08T17:40:43.110166,AAPL,160.95
2025-10-08T17:40:43.120825,AAPL,161.37
2025-10-08T17:40:43.133438,AAPL,161.1
2025-10-08T17:40:43.146021,AAPL,158.16
2025-10-08T17:40:43.158593,AAPL,160.43
2025-10-08T17:40:43.169907,AAPL,166.07
2025-10-08T17:40:43.181467,AAPL,166.95
2025-10-08T17:40:43.191955,AAPL,171.91
2025-10-08T17:40:43.204540,AAPL,174.02
2025-10-08T17:40:43.217157,AAPL,173.35
2025-10-08T17:40:43.229813,AAPL,173.94
2025-10-08T17:40:43.241677,AAPL,175.07
2025-10-08T17:40:43.252516,AAPL,176.1
2025-10-08T17:40:43.263265,AAPL,177.28
2025-10-08T17:40:43.275018,AAPL,172.16
2025-10-08T17:40:43.287637,AAPL,169.99
2025-10-08T17:40:43.298457,AAPL,171.79
2025-10-08T17:40:43.310695,AAPL,169.28
2025-10-08T17:40:43.322003,AAPL,172.04
2025-10-08T17:40:43.334624,AAPL,171.53
2025-10-08T17:40:43.346259,AAPL,175.02
2025-10-08T17:40:43.358871,AAPL,174.66
2025-10-08T17:40:43.371486,AAPL,173.18
2025-10-08T17:40:43.382448,AAPL,172.78
2025-10-08T17:40:43.393254,AAPL,169.09
2025-10-08T17:40:43.405324,AAPL,170.78
2025-10-08T17:40:43.417967,AAPL,166.67
2025-10-08T17:40:43.430614,AAPL,165.74
2025-10-08T17:40:43.443249,AAPL,166.06
2025-10-08T17:40:43.455330,AAPL,168.9
2025-10-08T17:40:43.466679,AAPL,175.32
2025-10-08T17:40:43.479321,AAPL,174.31
